sdist,state,n_women,hygienic_rate,ctx_temp_hot3_mean,ctx_heat_days_12mo,ctx_Aridity_2015,ctx_v113,ctx_v116,ctx_v190,predicted_rate,raw_need_rank,adjusted_gap,adjusted_need_rank,underperforming,state_name,district_name
826,22,411,0.12929351743833897,33.34080596824946,7.490163285318497,24.016062765988405,17.439662040306068,19.484465785202623,2.7288257629097887,0.36318326596280365,30,-0.23388974852446467,36,True,chhattisgarh,bemetara
201,9,551,0.1305165898465286,33.04951963278321,40.96821428622857,13.424335741089628,23.346910699824065,23.73702814219107,2.5113814961496983,0.2666693468791843,31,-0.1361527570326557,200,True,uttar pradesh,etah
431,23,425,0.13131526597768445,32.075533718370295,,19.344160607566614,25.87717883927209,24.088323491961773,2.025090777766634,0.2634913547666811,32,-0.13217608878899667,211,True,madhya pradesh,umaria
863,24,308,0.1356945907536148,32.85425390348476,43.100266390942494,7.0425930380526784,21.61026560685521,22.166769668725614,3.1384631454802503,0.2899060300938993,33,-0.1542114393402845,150,True,gujarat,surendranagar
200,9,451,0.13613271713478722,32.06942073744759,5.952779033312128,19.913985681442878,28.115299711936697,34.10187827925705,1.9073943581357844,0.3017182302719423,34,-0.16558551313715505,126,True,uttar pradesh,sonbhadra
167,9,569,0.13643193830653716,33.188124752769994,7.918927478162229,17.13545486375098,24.047755155144262,28.013490238636887,2.188602159402859,0.32953113375288384,35,-0.19309919544634668,76,True,uttar pradesh,lalitpur
464,23,340,0.13853068150448797,31.915621852650922,44.36452291286248,15.664650331924802,24.445474065583507,24.813951114963068,2.0101895841628727,0.2467196317916946,36,-0.10818895028720663,281,True,madhya pradesh,jhabua
221,10,416,0.1389471278259259,29.755342211643033,64.73462122874892,26.454375708113123,31.489340900396044,28.303795829711913,1.7737133569889678,0.280616324217528,37,-0.14166919639160214,184,True,bihar,samastipur
430,23,371,0.13907025669298453,32.551847421660334,,15.880726646037518,26.241525766048962,26.258396347829617,1.8015284365171262,0.2362262522331281,38,-0.09715599554014356,315,True,madhya pradesh,rewa
233,10,464,0.14560665625325833,32.70025443339576,54.119641065811784,20.215594654878608,24.453438268332423,24.825581740614552,2.262311075323639,0.27191954833357035,39,-0.12631289208031202,234,True,bihar,kaimur (bhabua)
812,18,354,0.14621318037897146,28.22943069426505,54.33604618503275,71.21552697654347,23.112967882955317,27.87116797523264,1.8450917591745482,0.28968413769231427,40,-0.1434709573133428,179,True,assam,dhubri
854,24,428,0.14889706554295137,29.77194939202188,37.95617981516339,11.696069796545547,16.871923259955672,19.97323935977373,3.380363404131215,0.3656886482923008,41,-0.21679158274934943,49,True,gujarat,gir somnath
302,18,424,0.14916347832451138,28.154701501279888,57.4245564284619,75.54075084949359,23.950529668719078,25.24981764798668,1.8702915051657623,0.28245286959943217,42,-0.1332893912749208,209,True,assam,goalpara
441,23,441,0.14953070326858736,32.57686096859083,45.31902475668306,13.09361862951561,21.120665578802125,21.48665558075561,2.263598148378666,0.33915159483835344,43,-0.18962089156976608,82,True,madhya pradesh,barwani
853,24,409,0.1500949309983988,30.260117898545673,45.97371367470419,9.599762239332472,15.1410649706737,18.063142043478514,3.3145045882137505,0.31825840428464064,44,-0.16816347328624184,115,True,gujarat,devbhumi dwarka
875,17,437,0.15128117704202682,23.52729171650503,63.8321416423318,117.58400006621774,24.432034597818905,14.792764928112422,1.9128071632115293,0.3064715225170285,45,-0.1551903454750017,147,True,meghalaya,south west khasi hills
303,18,418,0.15213113850834328,28.259194689085422,55.98916309994424,67.43170138838448,23.273149348894655,26.60370636921937,1.8788185591715625,0.2795538144786056,46,-0.12742267597026233,230,True,assam,barpeta
428,23,366,0.15346794611054454,33.04900209935311,,19.802630916437973,26.421946908802013,28.427612681253642,2.0817269195416257,0.26807359356298543,47,-0.1146056474524409,263,True,madhya pradesh,damoh
208,10,459,0.1537253297619238,28.75463883899989,58.56176185351328,37.775796470195885,28.613841361989913,29.242912856190433,1.4103937122652719,0.2509073685583789,48,-0.09718203879645512,314,True,bihar,supaul
478,24,343,0.15736140553427763,29.90795571761142,34.97884860709895,10.945067618029386,18.210870615796953,15.687787316003176,3.88254749044747,0.44719221032316175,49,-0.2898308047888841,15,True,gujarat,porbandar
